transaction_id,transaction_date,transaction_time,transaction_amount,transaction_type,payment_method,merchant_category,merchant_name,customer_id,customer_age,customer_gender,city,state,device_type,bank_name,transaction_status,failure_reason,year,month,month_name,day,day_name,week,quarter,hour,is_weekend,transaction_success_flag,amount_bucket,year_month
TXN438857,2023-10-11,12:43:52,1752.83,Shopping,UPI ID,Shopping,Myntra,CUST03667,40,Male,Delhi,Delhi,Android,Icici Bank,Success,N/A,2023,10,October,11,Wednesday,41,4,12,0,1,High,2023-10
TXN440126,2024-04-30,16:47:09,344.63,Food,Mobile Number,Food,McDonald's,CUST00001,19,Male,Patna,Bihar,Ios,Canara Bank,Success,N/A,2024,4,April,30,Tuesday,18,2,16,0,1,Medium,2024-04
TXN504021,2023-08-30,04:13:52,1057.64,Shopping,Mobile Number,Shopping,Nykaa,CUST02492,35,Male,Bangalore,Karnataka,Android,Jio Payments Bank,Success,N/A,2023,8,August,30,Wednesday,35,3,4,0,1,High,2023-08
TXN381327,2024-06-15,16:49:24,178.91,Entertainment,UPI QR,Entertainment,PVR Cinemas,CUST04011,24,Female,Surat,Gujarat,Ios,Sbi,Success,N/A,2024,6,June,15,Saturday,24,2,16,1,1,Low,2024-06
TXN549738,2024-04-24,19:46:23,1060.27,Utilities,UPI ID,Utilities,DTH Provider,CUST01939,22,Male,Nagpur,Maharashtra,Ios,Jio Payments Bank,Success,N/A,2024,4,April,24,Wednesday,17,2,19,0,1,High,2024-04
TXN688931,2023-04-25,11:09:26,6543.13,Travel,UPI ID,Travel,IRCTC,CUST00509,32,Male,Kolkata,West Bengal,Android,Paytm Payments Bank,Success,N/A,2023,4,April,25,Tuesday,17,2,11,0,1,Very High,2023-04
TXN416504,2023-02-22,18:32:00,1698.95,Bill Payment,UPI ID,Bill Payment,MSEDCL,CUST00556,34,Male,Kolkata,West Bengal,Android,Indusind Bank,Success,N/A,2023,2,February,22,Wednesday,8,1,18,0,1,High,2023-02
TXN216474,2023-04-20,21:06:37,98.12,Food,UPI,Food,Cafe Coffee Day,CUST01247,50,Male,Chennai,Tamil Nadu,Android,Indusind Bank,Success,N/A,2023,4,April,20,Thursday,16,2,21,0,1,Low,2023-04
TXN989590,2023-08-13,22:03:29,337.88,Food,UPI QR,Food,McDonald's,CUST00094,22,Male,Jaipur,Rajasthan,Android,Jio Payments Bank,Success,N/A,2023,8,August,13,Sunday,32,3,22,1,1,Medium,2023-08
TXN358936,2024-05-20,13:38:10,396.15,Recharge,UPI QR,Recharge,Airtel,CUST00227,20,Male,Delhi,Delhi,Android,Kotak Bank,Success,N/A,2024,5,May,20,Monday,21,2,13,0,1,Medium,2024-05
TXN431761,2024-02-08,18:00:30,246.32,Food,UPI ID,Food,Domino's,CUST02010,48,Female,Mumbai,Maharashtra,Ios,Icici Bank,Failed,Bank Server Down,2024,2,February,8,Thursday,6,1,18,0,0,Medium,2024-02
TXN549117,2023-09-01,07:28:28,1349.95,Bill Payment,UPI QR,Bill Payment,Jio,CUST05404,22,Male,Kochi,Kerala,Android,Kotak Bank,Success,N/A,2023,9,September,1,Friday,35,3,7,0,1,High,2023-09
TXN418687,2023-05-19,20:31:19,256.6,Food,Mobile Number,Food,McDonald's,CUST01761,24,Female,Chandigarh,Punjab,Ios,Paytm Payments Bank,Success,N/A,2023,5,May,19,Friday,20,2,20,0,1,Medium,2023-05
TXN263439,2023-09-19,08:47:50,1903.08,Shopping,UPI ID,Shopping,Meesho,CUST06215,23,Male,Mumbai,Maharashtra,Android,Jio Payments Bank,Success,N/A,2023,9,September,19,Tuesday,38,3,8,0,1,High,2023-09
TXN307150,2023-07-16,19:31:43,621.03,Recharge,UPI ID,Recharge,Jio,CUST07682,50,Male,Delhi,Delhi,Ios,Indusind Bank,Success,N/A,2023,7,July,16,Sunday,28,3,19,1,1,Medium,2023-07
TXN377785,2023-02-27,22:32:15,495.11,Recharge,Mobile Number,Recharge,BSNL,CUST05870,38,Male,Mumbai,Maharashtra,Android,Icici Bank,Success,N/A,2023,2,February,27,Monday,9,1,22,0,1,Medium,2023-02
TXN172817,2023-05-12,12:19:29,585.34,Entertainment,UPI ID,Entertainment,Spotify,CUST01401,24,Female,Kolkata,West Bengal,Ios,Icici Bank,Success,N/A,2023,5,May,12,Friday,19,2,12,0,1,Medium,2023-05
TXN720813,2023-12-23,18:54:11,186.32,Recharge,Mobile Number,Recharge,BSNL,CUST05451,24,Female,Surat,Gujarat,Ios,Yes Bank,Success,N/A,2023,12,December,23,Saturday,51,4,18,1,1,Low,2023-12
TXN124071,2023-11-18,08:52:47,1929.25,Bill Payment,Mobile Number,Bill Payment,Tata Power,CUST07671,39,Female,Jaipur,Rajasthan,Android,Kotak Bank,Success,N/A,2023,11,November,18,Saturday,46,4,8,1,1,High,2023-11
TXN519920,2023-05-16,22:26:07,1630.06,Utilities,UPI ID,Utilities,DTH Provider,CUST06963,51,Female,Delhi,Delhi,Ios,Kotak Bank,Success,N/A,2023,5,May,16,Tuesday,20,2,22,0,1,High,2023-05
TXN452551,2023-05-07,23:00:34,3809.18,Travel,UPI QR,Travel,Uber,CUST06691,49,Male,Hyderabad,Telangana,Android,Axis Bank,Success,N/A,2023,5,May,7,Sunday,18,2,23,1,1,High,2023-05
TXN963411,2023-10-18,20:06:11,767.55,Entertainment,UPI QR,Entertainment,Hotstar,CUST03211,34,Male,Bangalore,Karnataka,Android,Canara Bank,Success,N/A,2023,10,October,18,Wednesday,42,4,20,0,1,Medium,2023-10
TXN635039,2024-04-13,10:52:34,1424.43,Bill Payment,UPI Lite,Bill Payment,Airtel,CUST07302,30,Female,Delhi,Delhi,Ios,Icici Bank,Success,N/A,2024,4,April,13,Saturday,15,2,10,1,1,High,2024-04
TXN239352,2024-02-16,09:33:44,615.61,Bill Payment,UPI,Bill Payment,Tata Power,CUST07471,19,Male,Delhi,Delhi,Android,Yes Bank,Success,N/A,2024,2,February,16,Friday,7,1,9,0,1,Medium,2024-02
TXN777891,2023-05-04,06:34:38,1419.3,Shopping,UPI QR,Shopping,Snapdeal,CUST04787,35,Male,Hyderabad,Telangana,Android,Paytm Payments Bank,Success,N/A,2023,5,May,4,Thursday,18,2,6,0,1,High,2023-05
TXN452316,2024-03-30,17:09:34,826.62,Bill Payment,UPI ID,Bill Payment,Tata Power,CUST02535,33,Female,Surat,Gujarat,Ios,Punjab National Bank,Success,N/A,2024,3,March,30,Saturday,13,1,17,1,1,Medium,2024-03
TXN632025,2023-09-14,21:01:23,4010.89,Shopping,UPI QR,Shopping,Amazon,CUST03370,58,Male,Ahmedabad,Gujarat,Android,Indusind Bank,Success,N/A,2023,9,September,14,Thursday,37,3,21,0,1,High,2023-09
TXN848651,2023-01-16,17:11:20,946.52,Bill Payment,Mobile Number,Bill Payment,Airtel,CUST05552,35,Male,Kolkata,West Bengal,Android,Yes Bank,Success,N/A,2023,1,January,16,Monday,3,1,17,0,1,Medium,2023-01
TXN875367,2023-07-23,09:55:51,1941.8,P2P,UPI QR,P2P,Individual Transfer,CUST06612,60,Female,Ahmedabad,Gujarat,Ios,Canara Bank,Success,N/A,2023,7,July,23,Sunday,29,3,9,1,1,High,2023-07
TXN361943,2024-05-28,18:27:36,407.36,Food,UPI,Food,BigBasket,CUST02726,44,Male,Chennai,Tamil Nadu,Android,Jio Payments Bank,Success,N/A,2024,5,May,28,Tuesday,22,2,18,0,1,Medium,2024-05
TXN799915,2023-08-19,10:21:39,218.87,Recharge,UPI QR,Recharge,Jio,CUST03988,46,Male,Bhopal,Madhya Pradesh,Ios,Indusind Bank,Success,N/A,2023,8,August,19,Saturday,33,3,10,1,1,Medium,2023-08
TXN392647,2023-08-05,08:40:33,857.77,Food,UPI QR,Food,Swiggy,CUST00708,51,Female,Delhi,Delhi,Android,Paytm Payments Bank,Pending,N/A,2023,8,August,5,Saturday,31,3,8,1,0,Medium,2023-08
TXN579645,2023-06-12,09:24:30,268.7,Recharge,UPI,Recharge,Jio,CUST05451,24,Female,Mumbai,Maharashtra,Ios,Hdfc Bank,Failed,Insufficient Balance,2023,6,June,12,Monday,24,2,9,0,0,Medium,2023-06
TXN351693,2024-02-26,18:52:43,146.77,Food,UPI QR,Food,Cafe Coffee Day,CUST04336,34,Male,Kolkata,West Bengal,Android,Canara Bank,Success,N/A,2024,2,February,26,Monday,9,1,18,0,1,Low,2024-02
TXN794615,2024-03-01,21:38:59,3700.08,Travel,UPI ID,Travel,Goibibo,CUST06068,56,Male,Patna,Bihar,Android,Indusind Bank,Success,N/A,2024,3,March,1,Friday,9,1,21,0,1,High,2024-03
TXN200002,2023-12-28,17:32:37,702.5,Entertainment,UPI Lite,Entertainment,Hotstar,CUST00502,25,Male,Pune,Maharashtra,Android,Paytm Payments Bank,Success,N/A,2023,12,December,28,Thursday,52,4,17,0,1,Medium,2023-12
TXN137945,2023-04-23,21:20:40,1823.49,Bill Payment,UPI QR,Bill Payment,Tata Power,CUST05441,59,Male,Bangalore,Karnataka,Android,Kotak Bank,Success,N/A,2023,4,April,23,Sunday,16,2,21,1,1,High,2023-04
TXN882328,2024-01-27,11:24:16,2466.63,Shopping,UPI Lite,Shopping,Myntra,CUST03712,40,Male,Delhi,Delhi,Android,Bank Of Baroda,Success,N/A,2024,1,January,27,Saturday,4,1,11,1,1,High,2024-01
TXN597176,2023-08-29,16:48:51,715.83,Utilities,UPI ID,Utilities,Internet Provider,CUST05375,38,Male,Mumbai,Maharashtra,Android,Kotak Bank,Success,N/A,2023,8,August,29,Tuesday,35,3,16,0,1,Medium,2023-08
TXN855825,2023-01-28,17:45:12,1891.8,Utilities,UPI ID,Utilities,Water Board,CUST03507,60,Female,Delhi,Delhi,Ios,Indusind Bank,Success,N/A,2023,1,January,28,Saturday,4,1,17,1,1,High,2023-01
TXN348868,2023-01-15,16:12:15,379.33,Food,UPI QR,Food,Domino's,CUST01480,58,Male,Ahmedabad,Gujarat,Ios,Kotak Bank,Success,N/A,2023,1,January,15,Sunday,2,1,16,1,1,Medium,2023-01
TXN505733,2023-03-27,23:57:04,2428.07,P2P,UPI QR,P2P,Individual Transfer,CUST06889,22,Male,Delhi,Delhi,Android,Kotak Bank,Success,N/A,2023,3,March,27,Monday,13,1,23,0,1,High,2023-03
TXN747091,2024-03-10,19:01:14,604.78,Food,UPI QR,Food,Cafe Coffee Day,CUST00860,23,Male,Mumbai,Maharashtra,Ios,Kotak Bank,Success,N/A,2024,3,March,10,Sunday,10,1,19,1,1,Medium,2024-03
TXN242340,2023-10-05,11:05:36,1176.31,Travel,UPI Lite,Travel,MakeMyTrip,CUST03578,41,Male,Lucknow,Uttar Pradesh,Android,Jio Payments Bank,Failed,Bank Server Down,2023,10,October,5,Thursday,40,4,11,0,0,High,2023-10
TXN212232,2023-03-17,12:53:54,9005.09,P2P,Mobile Number,P2P,Individual Transfer,CUST05754,57,Female,Mumbai,Maharashtra,Android,Bank Of Baroda,Success,N/A,2023,3,March,17,Friday,11,1,12,0,1,Very High,2023-03
TXN679524,2023-09-29,02:39:30,481.65,Entertainment,Mobile Number,Entertainment,PVR Cinemas,CUST02258,26,Male,Mumbai,Maharashtra,Ios,Bank Of Baroda,Success,N/A,2023,9,September,29,Friday,39,3,2,0,1,Medium,2023-09
TXN297505,2024-05-28,09:55:24,1095.85,P2P,UPI QR,P2P,Individual Transfer,CUST01415,38,Male,Delhi,Delhi,Android,Axis Bank,Failed,Bank Server Down,2024,5,May,28,Tuesday,22,2,9,0,0,High,2024-05
TXN932148,2024-02-27,08:32:21,90.75,Recharge,Mobile Number,Recharge,BSNL,CUST07167,30,Female,Chennai,Tamil Nadu,Ios,Paytm Payments Bank,Success,N/A,2024,2,February,27,Tuesday,9,1,8,0,1,Low,2024-02
TXN271467,2024-05-10,11:13:21,1425.71,Utilities,Mobile Number,Utilities,Water Board,CUST04274,62,Male,Delhi,Delhi,Android,Paytm Payments Bank,Success,N/A,2024,5,May,10,Friday,19,2,11,0,1,High,2024-05
TXN511356,2024-04-09,20:17:04,290.28,Entertainment,UPI QR,Entertainment,Hotstar,CUST00027,45,Female,Kolkata,West Bengal,Android,Canara Bank,Success,N/A,2024,4,April,9,Tuesday,15,2,20,0,1,Medium,2024-04
TXN874292,2024-01-16,17:38:37,939.35,Bill Payment,UPI QR,Bill Payment,Tata Power,CUST07517,20,Male,Chandigarh,Punjab,Ios,Paytm Payments Bank,Success,N/A,2024,1,January,16,Tuesday,3,1,17,0,1,Medium,2024-01
TXN431849,2023-04-21,16:45:06,1547.71,Travel,UPI QR,Travel,Uber,CUST03155,23,Male,Mumbai,Maharashtra,Android,Jio Payments Bank,Success,N/A,2023,4,April,21,Friday,16,2,16,0,1,High,2023-04
TXN172474,2023-08-30,20:27:21,288.7,Recharge,Mobile Number,Recharge,BSNL,CUST02585,38,Male,Hyderabad,Telangana,Ios,Icici Bank,Success,N/A,2023,8,August,30,Wednesday,35,3,20,0,1,Medium,2023-08
TXN519941,2024-06-05,16:34:07,626.59,Food,UPI ID,Food,BigBasket,CUST04834,37,Male,Surat,Gujarat,Android,Paytm Payments Bank,Success,N/A,2024,6,June,5,Wednesday,23,2,16,0,1,Medium,2024-06
TXN310562,2023-07-02,22:03:22,1480.86,Travel,UPI QR,Travel,MakeMyTrip,CUST01224,27,Female,Indore,Madhya Pradesh,Ios,Indusind Bank,Pending,N/A,2023,7,July,2,Sunday,26,3,22,1,0,High,2023-07
TXN827073,2023-12-31,04:29:50,291.77,Food,UPI Lite,Food,Domino's,CUST06913,46,Male,Mumbai,Maharashtra,Android,Yes Bank,Success,N/A,2023,12,December,31,Sunday,52,4,4,1,1,Medium,2023-12
TXN943891,2023-11-27,13:09:32,888.24,Bill Payment,UPI ID,Bill Payment,Jio,CUST03089,47,Male,Delhi,Delhi,Android,Jio Payments Bank,Success,N/A,2023,11,November,27,Monday,48,4,13,0,1,Medium,2023-11
TXN321970,2024-01-25,18:28:32,887.72,Bill Payment,Mobile Number,Bill Payment,BESCOM,CUST07276,49,Male,Bangalore,Karnataka,Ios,Indusind Bank,Success,N/A,2024,1,January,25,Thursday,4,1,18,0,1,Medium,2024-01
TXN292309,2023-09-11,11:51:17,1530.38,Shopping,UPI QR,Shopping,Amazon,CUST07322,50,Male,Kolkata,West Bengal,Ios,Bank Of Baroda,Failed,Insufficient Balance,2023,9,September,11,Monday,37,3,11,0,0,High,2023-09
TXN299970,2023-05-12,13:04:25,429.23,Entertainment,UPI ID,Entertainment,Spotify,CUST06236,44,Male,Kolkata,West Bengal,Ios,Axis Bank,Success,N/A,2023,5,May,12,Friday,19,2,13,0,1,Medium,2023-05
TXN789041,2023-04-06,18:05:22,182.43,Food,UPI ID,Food,McDonald's,CUST03573,36,Female,Delhi,Delhi,Android,Paytm Payments Bank,Success,N/A,2023,4,April,6,Thursday,14,2,18,0,1,Low,2023-04
TXN162481,2024-03-24,09:03:55,2549.71,Shopping,UPI,Shopping,Amazon,CUST03646,19,Male,Surat,Gujarat,Ios,Punjab National Bank,Success,N/A,2024,3,March,24,Sunday,12,1,9,1,1,High,2024-03
TXN926627,2023-10-28,17:18:03,1016.25,Bill Payment,UPI QR,Bill Payment,MSEDCL,CUST05397,60,Female,Ahmedabad,Gujarat,Android,Paytm Payments Bank,Success,N/A,2023,10,October,28,Saturday,43,4,17,1,1,High,2023-10
TXN499964,2024-02-24,22:23:45,214.61,Recharge,UPI Lite,Recharge,BSNL,CUST01832,50,Male,Kolkata,West Bengal,Android,Icici Bank,Success,N/A,2024,2,February,24,Saturday,8,1,22,1,1,Medium,2024-02
TXN892719,2024-03-08,01:09:15,2945.27,Travel,Mobile Number,Travel,MakeMyTrip,CUST07480,28,Male,Pune,Maharashtra,Ios,Sbi,Success,N/A,2024,3,March,8,Friday,10,1,1,0,1,High,2024-03
TXN406458,2023-10-20,18:41:06,143.38,Food,UPI ID,Food,Swiggy,CUST05368,31,Male,Kochi,Kerala,Ios,Sbi,Success,N/A,2023,10,October,20,Friday,42,4,18,0,1,Low,2023-10
TXN470569,2024-05-04,13:40:03,1706.75,Travel,UPI ID,Travel,IRCTC,CUST00674,62,Male,Delhi,Delhi,Android,Axis Bank,Success,N/A,2024,5,May,4,Saturday,18,2,13,1,1,High,2024-05
TXN186825,2023-01-23,08:40:09,4157.23,Shopping,Mobile Number,Shopping,Snapdeal,CUST04512,30,Female,Lucknow,Uttar Pradesh,Ios,Canara Bank,Success,N/A,2023,1,January,23,Monday,4,1,8,0,1,High,2023-01
TXN924421,2024-01-07,20:20:02,1337.11,Bill Payment,UPI QR,Bill Payment,Airtel,CUST04205,38,Male,Mumbai,Maharashtra,Android,Paytm Payments Bank,Success,N/A,2024,1,January,7,Sunday,1,1,20,1,1,High,2024-01
TXN624438,2024-05-19,10:02:01,346.52,Recharge,Mobile Number,Recharge,Airtel,CUST04055,23,Male,Kolkata,West Bengal,Ios,Punjab National Bank,Success,N/A,2024,5,May,19,Sunday,20,2,10,1,1,Medium,2024-05
TXN280151,2024-01-24,08:00:53,1535.88,Shopping,UPI QR,Shopping,Flipkart,CUST04343,41,Male,Bangalore,Karnataka,Android,Yes Bank,Success,N/A,2024,1,January,24,Wednesday,4,1,8,0,1,High,2024-01
TXN746526,2024-01-21,21:54:33,1216.17,Utilities,UPI QR,Utilities,DTH Provider,CUST04052,20,Male,Chandigarh,Punjab,Android,Sbi,Success,N/A,2024,1,January,21,Sunday,3,1,21,1,1,High,2024-01
TXN235179,2023-09-07,15:14:34,659.66,Entertainment,UPI ID,Entertainment,Hotstar,CUST06132,30,Female,Coimbatore,Tamil Nadu,Ios,Sbi,Success,N/A,2023,9,September,7,Thursday,36,3,15,0,1,Medium,2023-09
TXN450502,2023-04-26,16:21:59,220.55,Food,UPI Lite,Food,Swiggy,CUST05936,59,Male,Kolkata,West Bengal,Ios,Sbi,Success,N/A,2023,4,April,26,Wednesday,17,2,16,0,1,Medium,2023-04
TXN616678,2024-06-24,06:31:17,1782.56,P2P,UPI QR,P2P,Individual Transfer,CUST06085,28,Male,Kolkata,West Bengal,Android,Axis Bank,Success,N/A,2024,6,June,24,Monday,26,2,6,0,1,High,2024-06
TXN531485,2023-12-31,20:12:34,2191.32,Entertainment,Mobile Number,Entertainment,Netflix,CUST06397,25,Male,Bangalore,Karnataka,Ios,Icici Bank,Success,N/A,2023,12,December,31,Sunday,52,4,20,1,1,High,2023-12
TXN264119,2024-05-31,18:37:41,4142.15,Shopping,UPI ID,Shopping,Nykaa,CUST06421,49,Male,Chennai,Tamil Nadu,Android,Jio Payments Bank,Success,N/A,2024,5,May,31,Friday,22,2,18,0,1,High,2024-05
TXN572015,2024-01-14,18:48:48,255.02,Food,Mobile Number,Food,Swiggy,CUST04214,47,Male,Bangalore,Karnataka,Ios,Yes Bank,Failed,Transaction Timeout,2024,1,January,14,Sunday,2,1,18,1,0,Medium,2024-01
TXN420043,2023-07-21,09:59:09,1136.67,Bill Payment,UPI QR,Bill Payment,Tata Power,CUST01390,58,Male,Delhi,Delhi,Ios,Hdfc Bank,Success,N/A,2023,7,July,21,Friday,29,3,9,0,1,High,2023-07
TXN971770,2024-03-21,19:58:03,5205.13,Shopping,Mobile Number,Shopping,Snapdeal,CUST06934,22,Male,Visakhapatnam,Andhra Pradesh,Ios,Icici Bank,Success,N/A,2024,3,March,21,Thursday,12,1,19,0,1,Very High,2024-03
TXN586896,2024-03-24,08:08:31,381.56,Food,UPI ID,Food,McDonald's,CUST05257,55,Male,Nagpur,Maharashtra,Ios,Punjab National Bank,Success,N/A,2024,3,March,24,Sunday,12,1,8,1,1,Medium,2024-03
TXN647653,2023-03-03,14:14:08,1614.52,Bill Payment,UPI ID,Bill Payment,Jio,CUST07314,42,Female,Pune,Maharashtra,Android,Sbi,Success,N/A,2023,3,March,3,Friday,9,1,14,0,1,High,2023-03
TXN210762,2023-06-07,12:34:24,382.25,Food,UPI Lite,Food,McDonald's,CUST02594,47,Male,Surat,Gujarat,Android,Icici Bank,Success,N/A,2023,6,June,7,Wednesday,23,2,12,0,1,Medium,2023-06
TXN761028,2023-07-05,06:02:53,3654.23,Travel,Mobile Number,Travel,OYO,CUST07665,33,Female,Chennai,Tamil Nadu,Ios,Icici Bank,Success,N/A,2023,7,July,5,Wednesday,27,3,6,0,1,High,2023-07
TXN335484,2023-02-17,16:41:52,2524.67,Bill Payment,UPI ID,Bill Payment,Airtel,CUST01464,42,Female,Delhi,Delhi,Android,Icici Bank,Success,N/A,2023,2,February,17,Friday,7,1,16,0,1,High,2023-02
TXN937152,2024-02-22,19:32:34,74.66,Recharge,UPI,Recharge,Jio,CUST06264,27,Female,Mumbai,Maharashtra,Android,Yes Bank,Success,N/A,2024,2,February,22,Thursday,8,1,19,0,1,Low,2024-02
TXN493917,2023-03-11,21:28:39,2062.28,P2P,Mobile Number,P2P,Individual Transfer,CUST01707,60,Female,Delhi,Delhi,Ios,Indusind Bank,Success,N/A,2023,3,March,11,Saturday,10,1,21,1,1,High,2023-03
TXN158216,2024-02-10,20:05:55,1529.04,Utilities,Mobile Number,Utilities,Water Board,CUST02887,25,Male,Delhi,Delhi,Android,Bank Of Baroda,Success,N/A,2024,2,February,10,Saturday,6,1,20,1,1,High,2024-02
TXN569795,2023-07-21,19:34:29,1563.25,Utilities,UPI QR,Utilities,Water Board,CUST05496,24,Female,Indore,Madhya Pradesh,Ios,Icici Bank,Success,N/A,2023,7,July,21,Friday,29,3,19,0,1,High,2023-07
TXN849674,2023-11-14,22:34:23,1709.34,Travel,UPI ID,Travel,MakeMyTrip,CUST00826,34,Male,Bangalore,Karnataka,Android,Icici Bank,Success,N/A,2023,11,November,14,Tuesday,46,4,22,0,1,High,2023-11
TXN526511,2024-05-10,22:17:22,301.83,Entertainment,UPI Lite,Entertainment,PVR Cinemas,CUST00274,22,Male,Chandigarh,Punjab,Android,Hdfc Bank,Success,N/A,2024,5,May,10,Friday,19,2,22,0,1,Medium,2024-05
TXN814835,2023-02-16,15:13:06,2159.82,P2P,UPI Lite,P2P,Individual Transfer,CUST02081,29,Male,Jaipur,Rajasthan,Android,Yes Bank,Success,N/A,2023,2,February,16,Thursday,7,1,15,0,1,High,2023-02
TXN449464,2023-11-04,21:27:36,1020.3,Bill Payment,Mobile Number,Bill Payment,BESCOM,CUST06769,37,Male,Bangalore,Karnataka,Ios,Sbi,Success,N/A,2023,11,November,4,Saturday,44,4,21,1,1,High,2023-11
TXN930554,2023-05-04,20:42:22,366.18,Food,UPI ID,Food,McDonald's,CUST04020,33,Female,Kolkata,West Bengal,Android,Indusind Bank,Success,N/A,2023,5,May,4,Thursday,18,2,20,0,1,Medium,2023-05
